Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Bond Type,Type of Issuer,Use of Proceed,Principal Currency,Unit,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Italy,IT,ITA,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,14.118237625,14.672509176,11.765198021,9.412158417
Italy,IT,ITA,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.529750805,1.584379998,1.457244223,0.711140856,0.094089309
Italy,IT,ITA,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.104579537,7.957617634,3.241965672,7.273506859,7.516814259
Japan,JP,JPN,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,0.262348755,0.814818507,1.066983722,1.322854849,3.599659806,6.763790152,7.617034767,15.415935818,22.40842657,24.87488561,36.302469761
Japan,JP,JPN,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.233910311,0.434404862,1.282015194,2.684663061,5.921640982,7.947619272,12.850637717,19.030099188,18.745629736
Japan,JP,JPN,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,20.083729651
Japan,JP,JPN,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,1.0,0.732056765,0.329060906,4.444527164,9.955775772,7.775587645,10.012208278,8.052712211
Japan,JP,JPN,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.133967444,0.736820947,2.773050013,3.892634298,3.307123501
Jersey,JE,JEY,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,1.044495508,0.23,0.366028382,,,
Jersey,JE,JEY,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,1.5,0.149030204,0.12,0.227192928,
Jersey,JE,JEY,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,0.679766996,1.471464834
Jordan,JO,JOR,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,0.25,
"Kazakhstan, Rep. of",KZ,KAZ,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.037576141,0.069219207,0.005933074,
"Kazakhstan, Rep. of",KZ,KAZ,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.397051745
Kenya,KE,KEN,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.00609775,,,,,
"Korea, Rep. of",KR,KOR,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,0.5,,,1.4,0.375412114,3.905632667,6.85521239,3.171904655,25.237126329,16.635588647,14.021986062,12.52622665
"Korea, Rep. of",KR,KOR,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,1.350345497,2.249332068,11.563704483,22.846611489,25.667533495,32.5712251,31.341697407
"Korea, Rep. of",KR,KOR,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.732056765,,,
"Korea, Rep. of",KR,KOR,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.5,,,,,
"Korea, Rep. of",KR,KOR,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,1.631712084,11.418630349,7.246399919,19.041775905,11.489791257,5.862059407,5.794979806
"Korea, Rep. of",KR,KOR,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,2.153448358,0.10478769
Lao People's Dem. Rep.,LA,LAO,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.250372799,0.104415273,
Latvia,LV,LVA,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,0.1036205,0.025905125,0.020985918,,,,0.156869305,0.104579537,0.052289768,
Latvia,LV,LVA,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.627477227,,,
Latvia,LV,LVA,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.627477227,,,
Liechtenstein,LI,LIE,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.111395789,0.111395789,0.627477227,,,
Lithuania,LT,LTU,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.313738613,0.384852698,,,0.036602838,,,
Lithuania,LT,LTU,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,0.071114085,,,,,,
Lithuania,LT,LTU,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.078434653,,
Luxembourg,LU,LUX,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,0.627477227,,0.277563462,0.305852661,,0.557479158,3.43224548,6.024796731,3.377571738,7.686361525,7.102313132,7.928896231,8.263299601,12.526307613,18.059023852,19.572325859,14.262095846,28.883883374
Luxembourg,LU,LUX,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.182549512,1.148625243,0.030458908,0.078215937,0.001911001,
Luxembourg,LU,LUX,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,1.568693069,,,,
Luxembourg,LU,LUX,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.025,1.934721452,0.205801741,6.302639988,7.967628283,5.633568625,1.948852243,2.468033229
Luxembourg,LU,LUX,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,2.823647524,15.48563929,3.826022071,2.384346534,0.3
Malaysia,MY,MYS,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.467588859,0.203508938,0.479879659,0.124716135,0.303341637,0.203804347,0.736701476,0.366430482
Malaysia,MY,MYS,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.03144654,,,,,0.122314516,0.152853259,0.065285989
Malaysia,MY,MYS,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,2.264492753,,
Malaysia,MY,MYS,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,0.03144654,,,0.157232704,0.729438574,0.400265353,3.804801204,5.892033466,2.252607752,2.3952473
Malaysia,MY,MYS,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.226449275,0.012319494,0.098829483,0.327547233
Mali,ML,MLI,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.274557164,0.928702392,0.702596416,,
Mali,ML,MLI,Sovereign Social Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.274557164,0.928702392,0.702596416,,
Malta,MT,MLT,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,0.026144884,
"Marshall Islands, Rep. of the",MH,MHL,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.2,,1.5,,,
"Marshall Islands, Rep. of the",MH,MHL,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.5,,,
Mauritius,MU,MUS,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,1.0,1.95,,2.770202,0.65,6.042,2.3,1.05,
Mauritius,MU,MUS,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.34,,,0.3,,0.6
Mauritius,MU,MUS,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,0.176,
Mexico,MX,MEX,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,1.0,4.230955771,8.755885084,0.388703865,0.122687343,1.689266591,0.493811855,0.575256823,2.73795991,1.743356388
Mexico,MX,MEX,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.195780921,,0.230955771,0.147224812,1.007447704,1.557808344,1.46496815,0.867191169
Mexico,MX,MEX,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.784346534,1.307244224,6.684615339,4.068286579,5.718873317
Mexico,MX,MEX,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.610978755,0.125428711,0.270103094,0.80394477,6.528340234,12.930085045,8.416138738,10.753918526
Mexico,MX,MEX,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,9.661308381,1.937468931,4.633818004,
Mongolia,MN,MNG,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.04
Mongolia,MN,MNG,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.01
Morocco,MA,MAR,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.013378257,,,,,0.104316056,,
Namibia,NA,NAM,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,0.003583548,,,,,,
Namibia,NA,NAM,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.012325234,,,
"Netherlands, The",NL,NLD,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,1.701120016,4.792143809,7.22888396,10.321939311,11.16165883,28.271271567,24.719919213,33.252288706,32.054240764,38.226448805,29.242271008
"Netherlands, The",NL,NLD,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,0.683081644,1.032695127,4.042278945,2.511270929,4.110408619,7.313132745,6.996371088,6.392673096,11.530146139,14.479100477
"Netherlands, The",NL,NLD,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,16.408916451,,,,9.676695495,
"Netherlands, The",NL,NLD,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,0.524548887,,0.680448006,1.615648335,2.270129637,1.832121534,1.702956427,3.373704698,4.919089298,4.712800994,0.261448844,1.045795379
"Netherlands, The",NL,NLD,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,5.61148943,0.63149652,23.171149176,25.447579426,6.015238279,6.875937291
New Zealand,NZ,NZL,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,0.028269989,0.086829951,0.124941609,0.088289826,0.084809969,0.215032363,0.360610288,0.632859974,0.617050096,1.439248144,6.583532904,1.442566458,1.268120983
New Zealand,NZ,NZL,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,5.366900858,,
New Zealand,NZ,NZL,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,1.922900306,0.769160122,1.205400191,0.086100013,0.516600082,,
New Zealand,NZ,NZL,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.057400009,,
Niger,NE,NER,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.352264902,0.782675322,0.488790921,,
Niger,NE,NER,Sovereign Social Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.352264902,0.782675322,0.488790921,,
Nigeria,NG,NGA,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.007088671,,0.018944918,0.167093683,0.000598483,0.05,,
Nigeria,NG,NGA,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.007088671,,0.010003201,,,,,
Norway,NO,NOR,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,0.132114809,0.02581152,,1.0,0.327977456,2.30640757,1.194603009,0.748014914,3.176212296,5.345785172,6.33040032,13.225312859,16.069333397,15.103371449,13.202313368
Norway,NO,NOR,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.757201082,0.682538253,0.485057923,
Pakistan,PK,PAK,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.5,,,
Panama,PA,PAN,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,0.037,,,,,,,0.042,0.535328,,0.010229,0.01288,
Panama,PA,PAN,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.3
Paraguay,PY,PRY,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.6,,,,0.025349545
Peru,PE,PER,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,0.408,,,,0.026406126,1.280813906,0.2,,0.03,,
Peru,PE,PER,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.015641791,0.038607085,,,
Peru,PE,PER,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,3.25,,10.932370148,
Peru,PE,PER,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,3.25,1.2,10.95920858,
Peru,PE,PER,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.76,,,
Philippines,PH,PHL,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,0.769075804,,0.014366736,0.058941038,,0.502338831,1.3,1.499270573,1.943137475,3.590743005,0.533912415,1.873705376,0.231502334,0.144495003,2.790655644
Philippines,PH,PHL,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.074620011,0.042194092,0.047044654,9.056440701,2.081887291,5.00570951,3.996948789,1.709298849
Philippines,PH,PHL,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,2.219356507,1.25,1.9
Philippines,PH,PHL,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.872398912,0.905015227,0.306505162,3.378305893,1.258897023,4.275549861
Philippines,PH,PHL,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.112316837,,,,,0.962468896
"Poland, Rep. of",PL,POL,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.784346534,,1.045795379,2.310704305,0.248416345,1.225274034,0.522897689,1.485628008,2.541881328
"Poland, Rep. of",PL,POL,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.922897689,,,
"Poland, Rep. of",PL,POL,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.784346534,,1.045795379,2.091590758,,,,,
"Poland, Rep. of",PL,POL,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.189174191,,0.479241285,
"Poland, Rep. of",PL,POL,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.251787692,0.251787692,,0.878739047,
Portugal,PT,PRT,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,1.157138365,1.568693068,2.196170294,0.993505608,1.830141913,2.300749832
