Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Burundi,BI,BDI,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,
Burundi,BI,BDI,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0
Burundi,BI,BDI,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,2.0,1.0,3.0,2.0,7.0,2.0,3.0,2.0,3.0,3.0,,,1.0,2.0,,1.0,3.0,3.0,3.0,1.0,,2.0,2.0
Burundi,BI,BDI,"Climate related disasters frequency, Number of People Affected: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,650000.0,,,,0.0,,2150000.0,,,82500.0,180000.0,,0.0,,,,,,,,,,,,,
Burundi,BI,BDI,"Climate related disasters frequency, Number of People Affected: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,3600.0,,,,,,,,,,,500.0,,8000.0,,10000.0,5000.0,14805.0,25701.0,3275.0,8000.0,1990.0,685.0,,,12682.0,4179.0,,,47956.0,3773.0,36762.0,52182.0,,9551.0,237175.0
Burundi,BI,BDI,"Climate related disasters frequency, Number of People Affected: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,,810.0,,9942.0,,,,,
Burundi,BI,BDI,"Climate related disasters frequency, Number of People Affected: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,30810.0,,,,,15500.0,,1505.0,,,,1500.0,50.0,,,,,,,,,5000.0,,,,655.0
Burundi,BI,BDI,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,3600.0,,,,,,,,,,680810.0,500.0,,8000.0,0.0,25500.0,2155000.0,16310.0,25701.0,85775.0,188000.0,3490.0,735.0,,,12682.0,7179.0,,810.0,47956.0,13715.0,41762.0,52182.0,,9551.0,237830.0
Cabo Verde,CV,CPV,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,
Cabo Verde,CV,CPV,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
Cabo Verde,CV,CPV,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Cabo Verde,CV,CPV,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,2.0,,1.0,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,1.0,,
Cabo Verde,CV,CPV,"Climate related disasters frequency, Number of People Affected: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,0.0,,,,,,,,,,0.0,,,,,,10000.0,,,,30000.0,,,,,,,,,,,,,,,70000.0,,,,,46093.0,,
Cabo Verde,CV,CPV,"Climate related disasters frequency, Number of People Affected: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,25000.0,,,,
Cabo Verde,CV,CPV,"Climate related disasters frequency, Number of People Affected: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,2222.0,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
Cabo Verde,CV,CPV,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,2222.0,,5500.0,,,,,,,,0.0,,,,,,10000.0,,,,30000.0,,,,,,,150.0,,,,,,0.0,,70000.0,,,25000.0,,46093.0,,
Cambodia,KH,KHM,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,
Cambodia,KH,KHM,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,1.0,,,1.0,,1.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,3.0,1.0,,
Cambodia,KH,KHM,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,2.0,1.0,1.0,1.0,
Cambodia,KH,KHM,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,1.0,,,,1.0,,,2.0,,1.0,1.0,,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,4.0,2.0,1.0,
Cambodia,KH,KHM,"Climate related disasters frequency, Number of People Affected: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,0.0,,,,,,,5000000.0,,,,,,,300000.0,650000.0,,,600000.0,,,,,,,,,,,2500000.0,,,,,,,,
Cambodia,KH,KHM,"Climate related disasters frequency, Number of People Affected: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,900000.0,,,29000.0,,1300000.0,,,660379.0,3448053.0,1669182.0,1470000.0,,0.0,0.0,38000.0,19000.0,,,0.0,1640023.0,71500.0,1500000.0,530450.0,22000.0,,,5817.0,435000.0,,13225.0,167770.0,,
Cambodia,KH,KHM,"Climate related disasters frequency, Number of People Affected: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,178091.0,,,,,,6300.0,,,,,759360.0,501.0,0.0,14100.0,
Cambodia,KH,KHM,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,0.0,,,,900000.0,,,5029000.0,,1300000.0,0.0,,660379.0,3448053.0,1969182.0,2120000.0,,0.0,600000.0,38000.0,19000.0,,178091.0,0.0,1640023.0,71500.0,1500000.0,530450.0,28300.0,2500000.0,,5817.0,435000.0,759360.0,13726.0,167770.0,14100.0,
Cameroon,CM,CMR,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,
Cameroon,CM,CMR,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0
Cameroon,CM,CMR,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,1.0
Cameroon,CM,CMR,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,2.0,,1.0,,2.0,,1.0,1.0,,1.0,,3.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,4.0,2.0,2.0
Cameroon,CM,CMR,"Climate related disasters frequency, Number of People Affected: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,186900.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,12000.0,,,,,,,,,,2389127.0,,
Cameroon,CM,CMR,"Climate related disasters frequency, Number of People Affected: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,1000.0,,,200.0,,,0.0,,,,,1000.0,500.0,1500.0,,,,0.0,,10296.0,25000.0,,3095.0,,51980.0,805.0,250000.0,30000.0,,12890.0,,,26402.0,,153095.0,93260.0,500008.0
Cameroon,CM,CMR,"Climate related disasters frequency, Number of People Affected: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,0.0,,,250.0,2000.0,0.0
Cameroon,CM,CMR,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,1000.0,,186900.0,200.0,,,0.0,,,,,1000.0,500.0,1500.0,,100.0,,0.0,,10296.0,25000.0,,3095.0,,63980.0,805.0,250000.0,30000.0,,12890.0,,0.0,26402.0,,2542472.0,95260.0,500008.0
Canada,CA,CAN,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CA,CAN,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,1.0,
Canada,CA,CAN,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,1.0,,,1.0,2.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,4.0,2.0,2.0,5.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,
Canada,CA,CAN,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,,2.0,,2.0,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,4.0,,3.0
Canada,CA,CAN,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,7.0,4.0,5.0,5.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,6.0,4.0,6.0
Canada,CA,CAN,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",1.0,,,,,1.0,2.0,,,1.0,,,1.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,3.0
Canada,CA,CAN,"Climate related disasters frequency, Number of People Affected: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,30000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CA,CAN,"Climate related disasters frequency, Number of People Affected: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,200.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,0.0,
Canada,CA,CAN,"Climate related disasters frequency, Number of People Affected: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,0.0,,,4500.0,0.0,0.0,,0.0,,,200.0,,5600.0,12000.0,29000.0,3100.0,,,,0.0,2470.0,1000.0,5600.0,3900.0,500.0,2400.0,200.0,,2000.0,1500.0,100000.0,6904.0,,300.0,19113.0,4000.0,19500.0,12936.0,15000.0,2000.0,1450.0,
Canada,CA,CAN,"Climate related disasters frequency, Number of People Affected: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,0.0,,,,1000.0,2400.0,250.0,,0.0,,0.0,,,1304.0,0.0,0.0,0.0,2000.0,4200.0,840.0,30.0,,200.0,0.0,300.0,,0.0,,3.0,0.0,20.0,0.0,0.0,,,,,930.0,0.0,60000.0,302.0,4000.0,,20.0
Canada,CA,CAN,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,5000.0,0.0,200.0,0.0,30000.0,1000.0,8900.0,250.0,0.0,25000.0,0.0,0.0,0.0,200.0,4304.0,12100.0,12000.0,30600.0,13100.0,5700.0,840.0,1230.0,600.0,2670.0,1000.0,5900.0,3900.0,500.0,2400.0,203.0,0.0,9020.0,1500.0,100000.0,6904.0,13036.0,88300.0,62554.0,7930.0,19500.0,72936.0,15552.0,6000.0,31450.0,3520.0
Canada,CA,CAN,"Climate related disasters frequency, Number of People Affected: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,5000.0,,,,,0.0,2000.0,,,25000.0,,,0.0,,3000.0,6500.0,,1600.0,8000.0,1500.0,,1200.0,600.0,0.0,,0.0,,,,,,7000.0,,,,13036.0,88000.0,43441.0,3000.0,,,250.0,,30000.0,3500.0
Canary Island,,SPI,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Canary Island,,SPI,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Canary Island,,SPI,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
Canary Island,,SPI,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0
Canary Island,,SPI,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Canary Island,,SPI,"Climate related disasters frequency, Number of People Affected: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,
Canary Island,,SPI,"Climate related disasters frequency, Number of People Affected: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,,,300.0,430.0,,,,,,,,,,,,,,,,,,,,,,
Canary Island,,SPI,"Climate related disasters frequency, Number of People Affected: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
Canary Island,,SPI,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,0.0,,300.0,430.0,,113.0,0.0,,405.0,,,,,,,,,,,,,,,,,0.0
Canary Island,,SPI,"Climate related disasters frequency, Number of People Affected: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,,,
Cayman Islands,KY,CYM,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,
Cayman Islands,KY,CYM,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,
Cayman Islands,KY,CYM,"Climate related disasters frequency, Number of People Affected: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,
Cayman Islands,KY,CYM,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,
Central African Rep.,CF,CAF,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
