Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Afghanistan, Islamic Rep. of",AF,AFG,"Climate related disasters frequency, Number of People Affected: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,22656.0,0.0,,,,,5.0,,,0.0,,,9055.0,,,7481.0,,,,
"Afghanistan, Islamic Rep. of",AF,AFG,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,30000.0,,,,,,,0.0,161000.0,,0.0,139600.0,4000.0,1000.0,,7674.0,9855.0,20750.0,300.0,500.0,2580000.0,200000.0,5945.0,3753.0,4500.0,40974.0,2232975.0,30255.0,451864.0,62548.0,45130.0,1762815.0,51264.0,18097.0,142055.0,36717.0,0.0,11240.0,13504000.0,130942.0,51817.0,11035033.0,266787.0,127549.0,640084.0
"Afghanistan, Islamic Rep. of",AF,AFG,"Climate related disasters frequency, Number of People Affected: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,AL,ALB,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,AL,ALB,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,1.0,
Albania,AL,ALB,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,3.0,1.0,1.0,1.0,,,1.0,,,
Albania,AL,ALB,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,AL,ALB,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
Albania,AL,ALB,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,2.0,,,,1.0,,,1.0,,,2.0,,1.0,,,,,2.0,,2.0,2.0,,2.0,,1.0,1.0,,1.0,,,3.0,1.0,2.0,1.0,,,1.0,1.0,1.0,
Albania,AL,ALB,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
